"date","global_new_cases","global_new_deaths"
"2020-01-01","0","0"
"2020-01-02","0","0"
"2020-01-03","0","0"
"2020-01-04","0","0"
"2020-01-05","2","3"
"2020-01-06","0","0"
"2020-01-07","0","0"
"2020-01-08","0","0"
"2020-01-09","0","0"
"2020-01-10","0","0"
"2020-01-11","0","0"
"2020-01-12","45","1"
"2020-01-13","0","0"
"2020-01-14","0","0"
"2020-01-15","0","0"
"2020-01-16","0","0"
"2020-01-17","0","0"
"2020-01-18","0","0"
"2020-01-19","90","2"
"2020-01-20","0","0"
"2020-01-21","0","0"
"2020-01-22","0","0"
"2020-01-23","0","0"
"2020-01-24","0","0"
"2020-01-25","0","0"
"2020-01-26","1896","56"
"2020-01-27","0","0"
"2020-01-28","0","0"
"2020-01-29","0","0"
"2020-01-30","0","0"
"2020-01-31","0","0"
"2020-02-01","0","0"
"2020-02-02","12538","310"
"2020-02-03","0","0"
"2020-02-04","0","0"
"2020-02-05","0","0"
"2020-02-06","0","0"
"2020-02-07","0","0"
"2020-02-08","0","0"
"2020-02-09","22985","545"
"2020-02-10","0","0"
"2020-02-11","0","0"
"2020-02-12","0","0"
"2020-02-13","0","0"
"2020-02-14","0","0"
"2020-02-15","0","0"
"2020-02-16","31449","864"
"2020-02-17","0","0"
"2020-02-18","0","0"
"2020-02-19","0","0"
"2020-02-20","0","0"
"2020-02-21","0","0"
"2020-02-22","0","0"
"2020-02-23","9242","690"
"2020-02-24","0","0"
"2020-02-25","0","0"
"2020-02-26","0","0"
"2020-02-27","0","0"
"2020-02-28","0","0"
"2020-02-29","0","0"
"2020-03-01","8268","515"
"2020-03-02","0","0"
"2020-03-03","0","0"
"2020-03-04","0","0"
"2020-03-05","0","0"
"2020-03-06","0","0"
"2020-03-07","0","0"
"2020-03-08","20206","649"
"2020-03-09","0","0"
"2020-03-10","0","0"
"2020-03-11","0","0"
"2020-03-12","0","0"
"2020-03-13","0","0"
"2020-03-14","0","0"
"2020-03-15","60434","2654"
"2020-03-16","0","0"
"2020-03-17","0","0"
"2020-03-18","0","0"
"2020-03-19","0","0"
"2020-03-20","0","0"
"2020-03-21","0","0"
"2020-03-22","171320","9697"
"2020-03-23","0","0"
"2020-03-24","0","0"
"2020-03-25","0","0"
"2020-03-26","0","0"
"2020-03-27","0","0"
"2020-03-28","0","0"
"2020-03-29","351479","22284"
"2020-03-30","0","0"
"2020-03-31","0","0"
"2020-04-01","0","0"
"2020-04-02","0","0"
"2020-04-03","0","0"
"2020-04-04","0","0"
"2020-04-05","466289","36846"
"2020-04-06","0","0"
"2020-04-07","0","0"
"2020-04-08","0","0"
"2020-04-09","0","0"
"2020-04-10","0","0"
"2020-04-11","0","0"
"2020-04-12","524359","47674"
"2020-04-13","0","0"
"2020-04-14","0","0"
"2020-04-15","0","0"
"2020-04-16","0","0"
"2020-04-17","0","0"
"2020-04-18","0","0"
"2020-04-19","507006","49957"
"2020-04-20","0","0"
"2020-04-21","0","0"
"2020-04-22","0","0"
"2020-04-23","0","0"
"2020-04-24","0","0"
"2020-04-25","0","0"
"2020-04-26","540268","44409"
"2020-04-27","0","0"
"2020-04-28","0","0"
"2020-04-29","0","0"
"2020-04-30","0","0"
"2020-05-01","0","0"
"2020-05-02","0","0"
"2020-05-03","545638","41130"
"2020-05-04","0","0"
"2020-05-05","0","0"
"2020-05-06","0","0"
"2020-05-07","0","0"
"2020-05-08","0","0"
"2020-05-09","0","0"
"2020-05-10","581533","38923"
"2020-05-11","0","0"
"2020-05-12","0","0"
"2020-05-13","0","0"
"2020-05-14","0","0"
"2020-05-15","0","0"
"2020-05-16","0","0"
"2020-05-17","610590","36165"
"2020-05-18","0","0"
"2020-05-19","0","0"
"2020-05-20","0","0"
"2020-05-21","0","0"
"2020-05-22","0","0"
"2020-05-23","0","0"
"2020-05-24","696687","34748"
"2020-05-25","0","0"
"2020-05-26","0","0"
"2020-05-27","0","0"
"2020-05-28","0","0"
"2020-05-29","0","0"
"2020-05-30","0","0"
"2020-05-31","729003","33368"
"2020-06-01","0","0"
"2020-06-02","0","0"
"2020-06-03","0","0"
"2020-06-04","0","0"
"2020-06-05","0","0"
"2020-06-06","0","0"
"2020-06-07","844663","34882"
"2020-06-08","0","0"
"2020-06-09","0","0"
"2020-06-10","0","0"
"2020-06-11","0","0"
"2020-06-12","0","0"
"2020-06-13","0","0"
"2020-06-14","902650","35276"
"2020-06-15","0","0"
"2020-06-16","0","0"
"2020-06-17","0","0"
"2020-06-18","0","0"
"2020-06-19","0","0"
"2020-06-20","0","0"
"2020-06-21","1031412","37449"
"2020-06-22","0","0"
"2020-06-23","0","0"
"2020-06-24","0","0"
"2020-06-25","0","0"
"2020-06-26","0","0"
"2020-06-27","0","0"
"2020-06-28","1158117","36729"
"2020-06-29","0","0"
"2020-06-30","0","0"
"2020-07-01","0","0"
"2020-07-02","0","0"
"2020-07-03","0","0"
"2020-07-04","0","0"
"2020-07-05","1328647","36368"
"2020-07-06","0","0"
"2020-07-07","0","0"
"2020-07-08","0","0"
"2020-07-09","0","0"
"2020-07-10","0","0"
"2020-07-11","0","0"
"2020-07-12","1429050","38795"
"2020-07-13","0","0"
"2020-07-14","0","0"
"2020-07-15","0","0"
"2020-07-16","0","0"
"2020-07-17","0","0"
"2020-07-18","0","0"
"2020-07-19","1574155","42559"
"2020-07-20","0","0"
"2020-07-21","0","0"
"2020-07-22","0","0"
"2020-07-23","0","0"
"2020-07-24","0","0"
"2020-07-25","0","0"
"2020-07-26","1742871","44784"
"2020-07-27","0","0"
"2020-07-28","0","0"
"2020-07-29","0","0"
"2020-07-30","0","0"
"2020-07-31","0","0"
"2020-08-01","0","0"
"2020-08-02","1839236","44825"
"2020-08-03","0","0"
"2020-08-04","0","0"
"2020-08-05","0","0"
"2020-08-06","0","0"
"2020-08-07","0","0"
"2020-08-08","0","0"
"2020-08-09","1838664","45689"
"2020-08-10","0","0"
"2020-08-11","0","0"
"2020-08-12","0","0"
"2020-08-13","0","0"
"2020-08-14","0","0"
"2020-08-15","0","0"
"2020-08-16","1885276","44688"
"2020-08-17","0","0"
"2020-08-18","0","0"
"2020-08-19","0","0"
"2020-08-20","0","0"
"2020-08-21","0","0"
"2020-08-22","0","0"
"2020-08-23","1823522","42711"
"2020-08-24","0","0"
"2020-08-25","0","0"
"2020-08-26","0","0"
"2020-08-27","0","0"
"2020-08-28","0","0"
"2020-08-29","0","0"
"2020-08-30","1875228","41466"
"2020-08-31","0","0"
"2020-09-01","0","0"
"2020-09-02","0","0"
"2020-09-03","0","0"
"2020-09-04","0","0"
"2020-09-05","0","0"
"2020-09-06","1985046","40000"
"2020-09-07","0","0"
"2020-09-08","0","0"
"2020-09-09","0","0"
"2020-09-10","0","0"
"2020-09-11","0","0"
"2020-09-12","0","0"
"2020-09-13","1957986","43242"
"2020-09-14","0","0"
"2020-09-15","0","0"
"2020-09-16","0","0"
"2020-09-17","0","0"
"2020-09-18","0","0"
"2020-09-19","0","0"
"2020-09-20","2096023","39042"
"2020-09-21","0","0"
"2020-09-22","0","0"
"2020-09-23","0","0"
"2020-09-24","0","0"
"2020-09-25","0","0"
"2020-09-26","0","0"
"2020-09-27","2104030","37718"
"2020-09-28","0","0"
"2020-09-29","0","0"
"2020-09-30","0","0"
"2020-10-01","0","0"
"2020-10-02","0","0"
"2020-10-03","0","0"
"2020-10-04","2133124","37571"
"2020-10-05","0","0"
"2020-10-06","0","0"
"2020-10-07","0","0"
"2020-10-08","0","0"
"2020-10-09","0","0"
"2020-10-10","0","0"
"2020-10-11","2365164","38126"
"2020-10-12","0","0"
"2020-10-13","0","0"
"2020-10-14","0","0"
"2020-10-15","0","0"
"2020-10-16","0","0"
"2020-10-17","0","0"
"2020-10-18","2598276","38087"
"2020-10-19","0","0"
"2020-10-20","0","0"
"2020-10-21","0","0"
"2020-10-22","0","0"
"2020-10-23","0","0"
"2020-10-24","0","0"
"2020-10-25","3090898","43015"
"2020-10-26","0","0"
"2020-10-27","0","0"
"2020-10-28","0","0"
"2020-10-29","0","0"
"2020-10-30","0","0"
"2020-10-31","0","0"
"2020-11-01","3526641","49499"
"2020-11-02","0","0"
"2020-11-03","0","0"
"2020-11-04","0","0"
"2020-11-05","0","0"
"2020-11-06","0","0"
"2020-11-07","0","0"
"2020-11-08","3857588","59051"
"2020-11-09","0","0"
"2020-11-10","0","0"
"2020-11-11","0","0"
"2020-11-12","0","0"
"2020-11-13","0","0"
"2020-11-14","0","0"
"2020-11-15","4049247","65422"
"2020-11-16","0","0"
"2020-11-17","0","0"
"2020-11-18","0","0"
"2020-11-19","0","0"
"2020-11-20","0","0"
"2020-11-21","0","0"
"2020-11-22","4110813","73535"
"2020-11-23","0","0"
"2020-11-24","0","0"
"2020-11-25","0","0"
"2020-11-26","0","0"
"2020-11-27","0","0"
"2020-11-28","0","0"
"2020-11-29","4022147","76177"
"2020-11-30","0","0"
"2020-12-01","0","0"
"2020-12-02","0","0"
"2020-12-03","0","0"
"2020-12-04","0","0"
"2020-12-05","0","0"
"2020-12-06","4200839","79445"
"2020-12-07","0","0"
"2020-12-08","0","0"
"2020-12-09","0","0"
"2020-12-10","0","0"
"2020-12-11","0","0"
"2020-12-12","0","0"
"2020-12-13","4394478","82462"
"2020-12-14","0","0"
"2020-12-15","0","0"
"2020-12-16","0","0"
"2020-12-17","0","0"
"2020-12-18","0","0"
"2020-12-19","0","0"
"2020-12-20","4542432","85690"
"2020-12-21","0","0"
"2020-12-22","0","0"
"2020-12-23","0","0"
"2020-12-24","0","0"
"2020-12-25","0","0"
"2020-12-26","0","0"
"2020-12-27","4118121","81791"
"2020-12-28","0","0"
"2020-12-29","0","0"
"2020-12-30","0","0"
"2020-12-31","0","0"
"2021-01-01","0","0"
"2021-01-02","0","0"
"2021-01-03","4246641","86299"
"2021-01-04","0","0"
"2021-01-05","0","0"
"2021-01-06","0","0"
"2021-01-07","0","0"
"2021-01-08","0","0"
"2021-01-09","0","0"
"2021-01-10","5007618","92351"
"2021-01-11","0","0"
"2021-01-12","0","0"
"2021-01-13","0","0"
"2021-01-14","0","0"
"2021-01-15","0","0"
"2021-01-16","0","0"
"2021-01-17","4853319","100970"
"2021-01-18","0","0"
"2021-01-19","0","0"
"2021-01-20","0","0"
"2021-01-21","0","0"
"2021-01-22","0","0"
"2021-01-23","0","0"
"2021-01-24","4227124","103719"
"2021-01-25","0","0"
"2021-01-26","0","0"
"2021-01-27","0","0"
"2021-01-28","0","0"
"2021-01-29","0","0"
"2021-01-30","0","0"
"2021-01-31","3735931","100661"
"2021-02-01","0","0"
"2021-02-02","0","0"
"2021-02-03","0","0"
"2021-02-04","0","0"
"2021-02-05","0","0"
"2021-02-06","0","0"
"2021-02-07","3165479","89292"
"2021-02-08","0","0"
"2021-02-09","0","0"
"2021-02-10","0","0"
"2021-02-11","0","0"
"2021-02-12","0","0"
"2021-02-13","0","0"
"2021-02-14","2720792","81496"
"2021-02-15","0","0"
"2021-02-16","0","0"
"2021-02-17","0","0"
"2021-02-18","0","0"
"2021-02-19","0","0"
"2021-02-20","0","0"
"2021-02-21","2474263","68436"
"2021-02-22","0","0"
"2021-02-23","0","0"
"2021-02-24","0","0"
"2021-02-25","0","0"
"2021-02-26","0","0"
"2021-02-27","0","0"
"2021-02-28","2661466","64006"
"2021-03-01","0","0"
"2021-03-02","0","0"
"2021-03-03","0","0"
"2021-03-04","0","0"
"2021-03-05","0","0"
"2021-03-06","0","0"
"2021-03-07","2737562","60483"
"2021-03-08","0","0"
"2021-03-09","0","0"
"2021-03-10","0","0"
"2021-03-11","0","0"
"2021-03-12","0","0"
"2021-03-13","0","0"
"2021-03-14","2963169","60687"
"2021-03-15","0","0"
"2021-03-16","0","0"
"2021-03-17","0","0"
"2021-03-18","0","0"
"2021-03-19","0","0"
"2021-03-20","0","0"
"2021-03-21","3328191","63183"
"2021-03-22","0","0"
"2021-03-23","0","0"
"2021-03-24","0","0"
"2021-03-25","0","0"
"2021-03-26","0","0"
"2021-03-27","0","0"
"2021-03-28","3832345","69086"
"2021-03-29","0","0"
"2021-03-30","0","0"
"2021-03-31","0","0"
"2021-04-01","0","0"
"2021-04-02","0","0"
"2021-04-03","0","0"
"2021-04-04","4113652","75435"
"2021-04-05","0","0"
"2021-04-06","0","0"
"2021-04-07","0","0"
"2021-04-08","0","0"
"2021-04-09","0","0"
"2021-04-10","0","0"
"2021-04-11","4558742","80378"
"2021-04-12","0","0"
"2021-04-13","0","0"
"2021-04-14","0","0"
"2021-04-15","0","0"
"2021-04-16","0","0"
"2021-04-17","0","0"
"2021-04-18","5232575","85909"
"2021-04-19","0","0"
"2021-04-20","0","0"
"2021-04-21","0","0"
"2021-04-22","0","0"
"2021-04-23","0","0"
"2021-04-24","0","0"
"2021-04-25","5695398","91430"
"2021-04-26","0","0"
"2021-04-27","0","0"
"2021-04-28","0","0"
"2021-04-29","0","0"
"2021-04-30","0","0"
"2021-05-01","0","0"
"2021-05-02","5693494","96002"
"2021-05-03","0","0"
"2021-05-04","0","0"
"2021-05-05","0","0"
"2021-05-06","0","0"
"2021-05-07","0","0"
"2021-05-08","0","0"
"2021-05-09","5463792","92232"
"2021-05-10","0","0"
"2021-05-11","0","0"
"2021-05-12","0","0"
"2021-05-13","0","0"
"2021-05-14","0","0"
"2021-05-15","0","0"
"2021-05-16","4810808","87595"
"2021-05-17","0","0"
"2021-05-18","0","0"
"2021-05-19","0","0"
"2021-05-20","0","0"
"2021-05-21","0","0"
"2021-05-22","0","0"
"2021-05-23","4215502","86186"
"2021-05-24","0","0"
"2021-05-25","0","0"
"2021-05-26","0","0"
"2021-05-27","0","0"
"2021-05-28","0","0"
"2021-05-29","0","0"
"2021-05-30","3546244","78601"
"2021-05-31","0","0"
"2021-06-01","0","0"
"2021-06-02","0","0"
"2021-06-03","0","0"
"2021-06-04","0","0"
"2021-06-05","0","0"
"2021-06-06","3005176","68449"
"2021-06-07","0","0"
"2021-06-08","0","0"
"2021-06-09","0","0"
"2021-06-10","0","0"
"2021-06-11","0","0"
"2021-06-12","0","0"
"2021-06-13","2647350","71178"
"2021-06-14","0","0"
"2021-06-15","0","0"
"2021-06-16","0","0"
"2021-06-17","0","0"
"2021-06-18","0","0"
"2021-06-19","0","0"
"2021-06-20","2536720","62915"
"2021-06-21","0","0"
"2021-06-22","0","0"
"2021-06-23","0","0"
"2021-06-24","0","0"
"2021-06-25","0","0"
"2021-06-26","0","0"
"2021-06-27","2631551","56072"
"2021-06-28","0","0"
"2021-06-29","0","0"
"2021-06-30","0","0"
"2021-07-01","0","0"
"2021-07-02","0","0"
"2021-07-03","0","0"
"2021-07-04","2759887","53663"
"2021-07-05","0","0"
"2021-07-06","0","0"
"2021-07-07","0","0"
"2021-07-08","0","0"
"2021-07-09","0","0"
"2021-07-10","0","0"
"2021-07-11","3285829","54603"
"2021-07-12","0","0"
"2021-07-13","0","0"
"2021-07-14","0","0"
"2021-07-15","0","0"
"2021-07-16","0","0"
"2021-07-17","0","0"
"2021-07-18","3606837","56309"
"2021-07-19","0","0"
"2021-07-20","0","0"
"2021-07-21","0","0"
"2021-07-22","0","0"
"2021-07-23","0","0"
"2021-07-24","0","0"
"2021-07-25","3756884","69633"
"2021-07-26","0","0"
"2021-07-27","0","0"
"2021-07-28","0","0"
"2021-07-29","0","0"
"2021-07-30","0","0"
"2021-07-31","0","0"
"2021-08-01","4143430","65093"
"2021-08-02","0","0"
"2021-08-03","0","0"
"2021-08-04","0","0"
"2021-08-05","0","0"
"2021-08-06","0","0"
"2021-08-07","0","0"
"2021-08-08","4421346","68911"
"2021-08-09","0","0"
"2021-08-10","0","0"
"2021-08-11","0","0"
"2021-08-12","0","0"
"2021-08-13","0","0"
"2021-08-14","0","0"
"2021-08-15","4518907","69694"
"2021-08-16","0","0"
"2021-08-17","0","0"
"2021-08-18","0","0"
"2021-08-19","0","0"
"2021-08-20","0","0"
"2021-08-21","0","0"
"2021-08-22","4597432","71412"
"2021-08-23","0","0"
"2021-08-24","0","0"
"2021-08-25","0","0"
"2021-08-26","0","0"
"2021-08-27","0","0"
"2021-08-28","0","0"
"2021-08-29","4566667","70826"
"2021-08-30","0","0"
"2021-08-31","0","0"
"2021-09-01","0","0"
"2021-09-02","0","0"
"2021-09-03","0","0"
"2021-09-04","0","0"
"2021-09-05","4358670","67855"
"2021-09-06","0","0"
"2021-09-07","0","0"
"2021-09-08","0","0"
"2021-09-09","0","0"
"2021-09-10","0","0"
"2021-09-11","0","0"
"2021-09-12","3929905","62593"
"2021-09-13","0","0"
"2021-09-14","0","0"
"2021-09-15","0","0"
"2021-09-16","0","0"
"2021-09-17","0","0"
"2021-09-18","0","0"
"2021-09-19","3685257","60871"
"2021-09-20","0","0"
"2021-09-21","0","0"
"2021-09-22","0","0"
"2021-09-23","0","0"
"2021-09-24","0","0"
"2021-09-25","0","0"
"2021-09-26","3507525","55411"
"2021-09-27","0","0"
"2021-09-28","0","0"
"2021-09-29","0","0"
"2021-09-30","0","0"
"2021-10-01","0","0"
"2021-10-02","0","0"
"2021-10-03","3110623","52394"
"2021-10-04","0","0"
"2021-10-05","0","0"
"2021-10-06","0","0"
"2021-10-07","0","0"
"2021-10-08","0","0"
"2021-10-09","0","0"
"2021-10-10","2957201","48355"
"2021-10-11","0","0"
"2021-10-12","0","0"
"2021-10-13","0","0"
"2021-10-14","0","0"
"2021-10-15","0","0"
"2021-10-16","0","0"
"2021-10-17","2883566","46089"
"2021-10-18","0","0"
"2021-10-19","0","0"
"2021-10-20","0","0"
"2021-10-21","0","0"
"2021-10-22","0","0"
"2021-10-23","0","0"
"2021-10-24","3006471","49351"
"2021-10-25","0","0"
"2021-10-26","0","0"
"2021-10-27","0","0"
"2021-10-28","0","0"
"2021-10-29","0","0"
"2021-10-30","0","0"
"2021-10-31","3127830","50887"
"2021-11-01","0","0"
"2021-11-02","0","0"
"2021-11-03","0","0"
"2021-11-04","0","0"
"2021-11-05","0","0"
"2021-11-06","0","0"
"2021-11-07","3180296","49217"
"2021-11-08","0","0"
"2021-11-09","0","0"
"2021-11-10","0","0"
"2021-11-11","0","0"
"2021-11-12","0","0"
"2021-11-13","0","0"
"2021-11-14","3477988","50527"
"2021-11-15","0","0"
"2021-11-16","0","0"
"2021-11-17","0","0"
"2021-11-18","0","0"
"2021-11-19","0","0"
"2021-11-20","0","0"
"2021-11-21","3863376","54704"
"2021-11-22","0","0"
"2021-11-23","0","0"
"2021-11-24","0","0"
"2021-11-25","0","0"
"2021-11-26","0","0"
"2021-11-27","0","0"
"2021-11-28","4047353","50183"
"2021-11-29","0","0"
"2021-11-30","0","0"
"2021-12-01","0","0"
"2021-12-02","0","0"
"2021-12-03","0","0"
"2021-12-04","0","0"
"2021-12-05","4273387","53892"
"2021-12-06","0","0"
"2021-12-07","0","0"
"2021-12-08","0","0"
"2021-12-09","0","0"
"2021-12-10","0","0"
"2021-12-11","0","0"
"2021-12-12","4314006","49785"
"2021-12-13","0","0"
"2021-12-14","0","0"
"2021-12-15","0","0"
"2021-12-16","0","0"
"2021-12-17","0","0"
"2021-12-18","0","0"
"2021-12-19","4702823","47352"
"2021-12-20","0","0"
"2021-12-21","0","0"
"2021-12-22","0","0"
"2021-12-23","0","0"
"2021-12-24","0","0"
"2021-12-25","0","0"
"2021-12-26","6090327","46576"
"2021-12-27","0","0"
"2021-12-28","0","0"
"2021-12-29","0","0"
"2021-12-30","0","0"
"2021-12-31","0","0"
"2022-01-01","0","0"
"2022-01-02","10468822","42691"
"2022-01-03","0","0"
"2022-01-04","0","0"
"2022-01-05","0","0"
"2022-01-06","0","0"
"2022-01-07","0","0"
"2022-01-08","0","0"
"2022-01-09","16597471","45642"
"2022-01-10","0","0"
"2022-01-11","0","0"
"2022-01-12","0","0"
"2022-01-13","0","0"
"2022-01-14","0","0"
"2022-01-15","0","0"
"2022-01-16","20661698","52343"
"2022-01-17","0","0"
"2022-01-18","0","0"
"2022-01-19","0","0"
"2022-01-20","0","0"
"2022-01-21","0","0"
"2022-01-22","0","0"
"2022-01-23","23541609","59734"
"2022-01-24","0","0"
"2022-01-25","0","0"
"2022-01-26","0","0"
"2022-01-27","0","0"
"2022-01-28","0","0"
"2022-01-29","0","0"
"2022-01-30","23424455","67836"
"2022-01-31","0","0"
"2022-02-01","0","0"
"2022-02-02","0","0"
"2022-02-03","0","0"
"2022-02-04","0","0"
"2022-02-05","0","0"
"2022-02-06","19927736","75874"
"2022-02-07","0","0"
"2022-02-08","0","0"
"2022-02-09","0","0"
"2022-02-10","0","0"
"2022-02-11","0","0"
"2022-02-12","0","0"
"2022-02-13","15910677","76453"
"2022-02-14","0","0"
"2022-02-15","0","0"
"2022-02-16","0","0"
"2022-02-17","0","0"
"2022-02-18","0","0"
"2022-02-19","0","0"
"2022-02-20","12870947","69614"
"2022-02-21","0","0"
"2022-02-22","0","0"
"2022-02-23","0","0"
"2022-02-24","0","0"
"2022-02-25","0","0"
"2022-02-26","0","0"
"2022-02-27","11049563","59477"
"2022-02-28","0","0"
"2022-03-01","0","0"
"2022-03-02","0","0"
"2022-03-03","0","0"
"2022-03-04","0","0"
"2022-03-05","0","0"
"2022-03-06","10900159","51920"
"2022-03-07","0","0"
"2022-03-08","0","0"
"2022-03-09","0","0"
"2022-03-10","0","0"
"2022-03-11","0","0"
"2022-03-12","0","0"
"2022-03-13","11805438","43777"
"2022-03-14","0","0"
"2022-03-15","0","0"
"2022-03-16","0","0"
"2022-03-17","0","0"
"2022-03-18","0","0"
"2022-03-19","0","0"
"2022-03-20","12378470","33817"
"2022-03-21","0","0"
"2022-03-22","0","0"
"2022-03-23","0","0"
"2022-03-24","0","0"
"2022-03-25","0","0"
"2022-03-26","0","0"
"2022-03-27","10998265","46476"
"2022-03-28","0","0"
"2022-03-29","0","0"
"2022-03-30","0","0"
"2022-03-31","0","0"
"2022-04-01","0","0"
"2022-04-02","0","0"
"2022-04-03","9369170","26859"
"2022-04-04","0","0"
"2022-04-05","0","0"
"2022-04-06","0","0"
"2022-04-07","0","0"
"2022-04-08","0","0"
"2022-04-09","0","0"
"2022-04-10","7200174","22874"
"2022-04-11","0","0"
"2022-04-12","0","0"
"2022-04-13","0","0"
"2022-04-14","0","0"
"2022-04-15","0","0"
"2022-04-16","0","0"
"2022-04-17","5697800","19205"
"2022-04-18","0","0"
